iter,time,reward,steps,convergence
269,1.9824230000002885,63.0,39.0,1.8173132950597768
270,2.8129049999998657,50.0,52.0,1.866217705862504
271,2.14775300000003,56.0,46.0,1.9687547827746656
272,1.6744480000001616,63.0,39.0,1.9650478815406494
273,2.709400000000084,52.0,41.0,2.029630841670925
274,1.349059999999902,51.0,42.0,2.0481012327013532
275,2.3887529999999657,61.0,41.0,2.070571027772954
276,1.5027349999998663,65.0,37.0,2.104904048639574
277,1.793240999999668,56.0,46.0,2.1471468785899765
278,3.8040179999998536,68.0,34.0,2.0912056313964777
279,3.0614419999999143,69.0,33.0,2.1075717287320046
280,1.9589560000001782,63.0,39.0,2.100000543704861
281,1.9899240000000873,65.0,37.0,2.0697186943476344
282,1.5042979999999595,70.0,32.0,1.9976136304178993
283,3.6875219999998876,60.0,33.0,1.9107316251194664
284,1.390577000000004,48.0,36.0,1.85359939059984
285,3.005923999999993,66.0,36.0,1.8141087594795984
286,3.6216690000001606,51.0,51.0,1.8277954072142002
287,3.534292999999966,67.0,35.0,1.804595182891709
288,3.480068000000003,45.0,39.0,1.8145995304408715
289,6.5434490000000345,64.0,38.0,1.773477762974966
290,3.033223000000085,61.0,41.0,1.8135030083860602
291,3.0566819999999773,66.0,36.0,1.8122708238492184
292,5.363342999999965,64.0,38.0,1.8284524553619614
293,2.4545280000003444,71.0,31.0,1.8242700227985462
294,6.412756000000019,35.0,49.0,1.8258530820253978
295,2.640454999999875,56.0,37.0,1.9371562930901436
296,5.761580000000155,46.0,47.0,1.9498109550588825
297,3.8793309999998193,68.0,34.0,1.8678800669374869
298,3.689214999999635,60.0,42.0,1.8756363215194978
299,5.7289590000002555,71.0,31.0,1.9995361687219908
300,8.653644999999877,67.0,35.0,1.9045923170112655
301,5.064652999999808,59.0,43.0,1.8881881173969088
302,6.621224999999953,54.0,48.0,1.964177674180053
303,4.0598410000001195,64.0,38.0,2.067260084550759
304,2.0661510000001826,56.0,46.0,2.102192716547516
305,3.428034999999774,60.0,42.0,2.063490302540135
306,1.8891260000000187,60.0,42.0,2.0340699644020477
307,4.04465399999987,70.0,32.0,2.0545981719570023
308,15.983749000000103,52.0,41.0,2.079008822113452
309,5.158883000000003,73.0,29.0,2.0044296151793497
310,5.008101999999681,64.0,38.0,2.022105350318732
311,6.597468999999911,59.0,43.0,2.046419777494485
312,6.571156999999772,70.0,32.0,1.9406419674504307
313,6.348838000000079,58.0,35.0,1.8372230504224496
314,2.4382860000002893,58.0,44.0,1.819698942060403
315,6.2485639999998455,59.0,43.0,1.8136331266953067
316,3.100948000000159,40.0,53.0,1.8460113469913924
317,2.5651080000002047,54.0,39.0,1.843844693633922
318,6.225897999999841,53.0,49.0,1.7944195487506982
319,6.087546999999915,65.0,37.0,1.8040955763322948
320,3.7177699999997316,67.0,35.0,1.8733923021816494
321,2.0353380000002197,66.0,36.0,1.7723327029891998
322,5.352734999999775,68.0,34.0,1.731167253321503
323,6.033615999999853,62.0,40.0,1.7783961041983916
324,4.3272000000000865,60.0,42.0,1.7610620381348832
325,3.6461169999997267,53.0,40.0,1.6968923416200332
326,6.748011999999637,57.0,36.0,1.5539626224841816
327,8.589340999999973,56.0,46.0,1.56767950319621
328,4.421538999999974,63.0,39.0,1.5702752057499878
329,4.85604499999992,67.0,35.0,1.5754781779364293
330,14.617467999999967,61.0,41.0,1.4903907401368162
331,2.6716610000003804,54.0,48.0,1.5853693569722687
332,4.434316000000216,63.0,39.0,1.6651764276863077
333,6.035169000000007,70.0,32.0,1.6431015880961737
334,4.933713999999867,70.0,32.0,1.631144154947099
335,6.96002899999959,72.0,30.0,1.614977317221109
336,3.1967540000001904,68.0,34.0,1.6164621585689556
337,8.92620700000002,46.0,47.0,1.6638410899557599
338,8.814005999999708,56.0,46.0,1.6142425001825438
339,1.059638000000085,63.0,39.0,1.6580057265688068
340,5.824131999999871,61.0,32.0,1.7201819306926027
341,1.150026999999998,46.0,38.0,1.7386910679239957
342,1.9101870000000076,51.0,33.0,1.7665209751302395
343,6.405774999999725,57.0,36.0,1.7777769855609893
344,3.4616299999998823,64.0,29.0,1.8312095241893158
345,2.4243409999997745,63.0,39.0,1.9221554129932688
346,3.317539999999841,69.0,33.0,2.025929939566796
347,2.913845000000137,58.0,35.0,2.0319752053500126
348,3.2665530000000054,64.0,38.0,2.13987007558021
349,1.4121679999998804,56.0,37.0,2.1178943223461113
350,3.497333999999963,62.0,40.0,2.14374606232886
351,2.659634000000022,61.0,41.0,2.1670606617185344
352,2.028099999999977,69.0,33.0,2.172168691682302
353,3.7917059999998948,68.0,34.0,2.2365175990297113
354,1.54658100000038,50.0,52.0,2.235048880539602
355,2.1152870000000767,68.0,34.0,2.1578312094044887
356,4.187679999999805,58.0,44.0,2.161712104803682
357,2.979720000000352,63.0,39.0,2.080762370984143
358,2.863684000000255,62.0,40.0,2.041400365876136
359,3.4120010000000534,57.0,45.0,1.9876192145029876
360,3.175155000000096,70.0,32.0,1.8934954829359527
361,1.4528820000001552,64.0,38.0,1.8137708716374898
362,3.203391,62.0,40.0,1.8371652102311355
363,1.4253289999999197,68.0,34.0,1.7414722437448755
364,1.3714549999996883,63.0,39.0,1.7171564267267538
365,5.026647999999856,58.0,35.0,1.7883277969174547
366,5.466675000000087,69.0,33.0,1.7008332133675341
367,2.4420140000001034,68.0,34.0,1.804865498088553
368,4.2799790000001,66.0,36.0,1.8151606446621202
369,3.608084999999761,64.0,38.0,1.9083537051503334
370,1.4777070000002723,70.0,32.0,1.9821456042266612
371,2.49559399999999,59.0,43.0,2.046800299106965
372,2.056088999999872,66.0,36.0,1.9341504554075173
373,2.01790699999993,63.0,39.0,2.0208427988587374
374,2.2987549999999857,41.0,43.0,2.0443932822847137
375,2.4276670000000777,57.0,45.0,2.055042118779434
376,2.582921000000127,34.0,59.0,2.030658585002932
377,2.6974129999999263,62.0,40.0,2.007017810062331
378,6.174546999999642,65.0,37.0,1.9701204711656046
379,4.033565999999933,26.0,58.0,1.8522430038369344
380,2.234236000000056,53.0,40.0,1.83065824616586
381,9.750480000000117,36.0,48.0,1.75375127653652
382,4.048387000000098,64.0,38.0,1.7669446573262
383,2.992476000000188,61.0,41.0,1.735304594829954
384,2.332339000000072,51.0,42.0,1.6849109648181178
385,1.747535999999883,61.0,41.0,1.6563220974269988
386,1.36972199999974,56.0,37.0,1.7069191280614688
387,3.729250999999767,67.0,35.0,1.743778412496767
388,1.705614000000022,63.0,39.0,1.813391499967802
389,1.9079060000000148,69.0,33.0,1.8968831946025992
390,4.5679569999999,65.0,37.0,1.8596459369591947
391,3.4985780000003075,65.0,37.0,1.9230592067272538
392,2.7563269999997253,42.0,42.0,1.924496955817124
393,2.098322999999791,65.0,37.0,1.8274933141286496
394,2.179051000000154,55.0,38.0,1.8286483364530106
395,3.3277000000002666,66.0,36.0,1.8128754532450913
396,2.4873090000001596,54.0,48.0,1.8606087311535944
397,2.006163999999977,65.0,37.0,1.842671982548925
398,1.6216839999998456,55.0,38.0,1.8623472312957283
399,2.4790530000000643,61.0,41.0,1.850701111018298
400,4.037783999999878,62.0,40.0,1.8982084353615598
401,2.3944519999998803,56.0,46.0,1.8540901948285466
402,4.567842000000155,55.0,47.0,1.8917545469287411
403,2.557598999999744,66.0,36.0,2.072108815796002
404,2.291774000000135,49.0,44.0,2.077441292903174
405,3.4697949999999977,66.0,36.0,2.051704384496676
406,5.723338000000133,68.0,34.0,2.033604048111674
407,1.8339840000001217,68.0,34.0,2.003918421453796
408,2.089772999999795,67.0,35.0,1.954559519912428
409,3.5591489999999837,35.0,49.0,1.998260095546827
410,11.05553799999992,67.0,35.0,1.9942576498514661
411,1.3666740000002342,66.0,36.0,1.9383424652397756
412,2.5210250000000656,66.0,36.0,1.8756056915427635
413,3.6665119999996776,57.0,45.0,1.7548435779228804
414,1.4040710000000622,52.0,50.0,1.764686007516574
415,4.949368999999759,57.0,45.0,1.7555452976693473
416,2.9828830000000472,52.0,41.0,1.758257577584527
417,4.896570999999739,60.0,33.0,1.7320479750140627
418,3.479261000000289,63.0,39.0,1.738182520234695
419,1.791370000000292,70.0,32.0,1.695850400135815
420,1.4181399999997346,66.0,36.0,1.6102082910868412
421,4.305027000000017,60.0,42.0,1.6994645504810664
422,2.577628000000054,68.0,34.0,1.774372597355147
423,3.1281120000001827,44.0,40.0,1.8029645352405168
424,0.9032509999999938,71.0,31.0,1.7125577126282194
425,1.0963610000001012,55.0,47.0,1.6575584969808503
426,5.473552000000215,60.0,42.0,1.706904002509559
427,1.4698480000001624,53.0,40.0,1.7387199183171114
428,2.69266200000029,57.0,45.0,1.7175049357690864
429,4.051344000000068,55.0,38.0,1.7080708471188175
430,3.6740019999998985,65.0,37.0,1.7123485563225718
431,1.9786370000001163,71.0,31.0,1.7121326772123768
432,1.8280769999998725,65.0,37.0,1.7429877806434706
433,4.617100000000374,59.0,43.0,1.813786062904639
434,2.3089899999999552,61.0,41.0,1.847269688687953
435,4.330936999999757,64.0,38.0,1.8918164324514914
436,1.0153289999998982,66.0,36.0,1.807269002903802
437,2.609368000000334,65.0,37.0,1.8027173462886494
438,2.7513670000001156,62.0,40.0,1.7814541455771937
439,6.473036000000043,61.0,41.0,1.8616052022426839
440,4.766298999999918,60.0,42.0,1.896555398392661
441,6.568736999999825,62.0,40.0,1.9736960373306587
442,5.466345999999955,48.0,54.0,1.8902084260565588
443,3.782318999999923,67.0,35.0,1.7949823198123305
444,10.299810999999881,59.0,43.0,1.9092512875646388
445,9.304633000000173,65.0,37.0,1.9586655090694305
446,15.930508999999926,49.0,53.0,1.9860458169506887
447,1.9585719999999363,43.0,50.0,1.9322425028085224
448,2.4090039999999924,57.0,36.0,2.009597838737125
449,3.9877650000001985,62.0,40.0,1.9392223095549188
450,3.8386180000000714,59.0,34.0,1.9165357982293574
451,3.8354400000000233,51.0,42.0,1.8118042183049898
452,1.3747909999999308,67.0,35.0,1.8707601692744777
453,4.433151999999829,69.0,33.0,1.8994270635391028
454,2.5694079999998287,67.0,35.0,1.9233372897389103
455,1.836926000000183,56.0,37.0,1.9235520447197458
456,2.537262000000151,61.0,41.0,1.8619295478711901
457,2.0194209999999657,60.0,33.0,1.8064194352179843
458,2.1431060000001168,52.0,41.0,1.7631371227102814
459,3.1077209999996747,69.0,33.0,1.7805591559693734
460,1.7965759999998276,66.0,36.0,1.852503483420168
461,1.4324470000000034,67.0,35.0,1.8986829013661886
462,1.8024780000001073,57.0,36.0,1.961372748855624
463,3.9136830000003897,60.0,33.0,2.0307968818417423
464,3.2219769999999315,63.0,30.0,1.9030916067826762
465,4.014639999999847,66.0,36.0,1.9481630817767208
466,4.963956000000103,65.0,37.0,1.9952705425825819
467,4.161223999999741,58.0,44.0,2.1204198049444685
468,2.3618260000000113,51.0,42.0,2.120124968792772
469,4.2731799999997655,54.0,39.0,2.07856565672
470,2.9743350000002167,65.0,37.0,2.040180274948444
471,4.389299000000069,68.0,34.0,1.9340641054936107
472,4.8644919999998315,67.0,35.0,1.8804362842189613
473,4.065604,55.0,38.0,1.8085917849396373
474,5.4624720000000515,64.0,38.0,1.7950120650029937
475,5.068484000000151,54.0,39.0,1.68083979925783
476,1.8688419999999262,68.0,34.0,1.6646354012686793
477,1.448581999999643,56.0,37.0,1.5553898527811136
478,4.860433000000164,67.0,35.0,1.5603132298878897
479,6.879570999999807,29.0,64.0,1.6381479584175573
480,2.3142090000001225,71.0,31.0,1.6638535936683518
481,3.4327499999999844,48.0,54.0,1.717826130808565
482,2.6091340000000685,54.0,48.0,1.740415438655234
483,3.69697300000027,57.0,45.0,1.7507203665935602
484,1.6382169999999974,52.0,41.0,1.7512600949942954
485,4.162548000000044,71.0,31.0,1.8361505771322275
486,2.463970000000426,55.0,47.0,1.8884199028583768
487,2.659669999999892,62.0,40.0,1.9222134406472524
488,1.4382450000001157,62.0,40.0,1.8915898863201146
489,2.7172740000001028,66.0,36.0,1.848579640558274
490,2.7593239999998964,71.0,31.0,1.8243258371237268
491,1.8082299999999663,57.0,45.0,1.802075512200291
492,4.644026999999884,62.0,40.0,1.81590962813847
493,2.798584000000215,65.0,37.0,1.753877910646351
494,2.9765319999999207,72.0,30.0,1.8571566862498792
495,3.687856999999628,59.0,43.0,1.8372467781792672
496,5.097112999999709,57.0,45.0,1.7921981368771949
497,5.8803110000003045,56.0,37.0,1.8695514782550842
498,1.8992849999999173,66.0,36.0,1.8508593173747148
499,1.7373080000000485,59.0,34.0,1.857892903579786
500,2.4556890000000386,54.0,39.0,1.9379621524211506
501,2.777964999999938,64.0,38.0,1.9629726865563863
502,4.607138000000344,65.0,37.0,1.8800790500976479
503,4.0101429999999105,66.0,36.0,1.900344543752388
504,2.363567999999816,50.0,43.0,1.8324861997674418
505,6.468245000000206,37.0,47.0,1.8160637589369082
506,2.084726999999731,69.0,33.0,1.8812535705522648
507,1.856633000000052,58.0,44.0,1.9106225889856332
508,3.41995500000003,65.0,37.0,1.9350296846668484
509,1.8555110000000319,56.0,46.0,1.923483341714622
